Benchmark,Replacement Type,Cache config,IPC value,Missrate
ijpeg,PLRU,dl2_64_64_32_p_17_24,1.7718,0.0799
ijpeg,PLRU,dl2_64_64_4_p_3_3,1.1254,0.5016
ijpeg,PLRU,dl2_64_64_8_p_5_6,1.3686,0.2942
ijpeg,SCORE,dl2_1024_64_16,1.8450,0.0518
ijpeg,SCORE,dl2_1024_64_32,1.8453,0.0517
ijpeg,SCORE,dl2_1024_64_4,1.8449,0.0518
ijpeg,SCORE,dl2_1024_64_8,1.8449,0.0518
ijpeg,SCORE,dl2_128_64_16,1.8067,0.0692
ijpeg,SCORE,dl2_128_64_32,1.8074,0.0685
ijpeg,SCORE,dl2_128_64_4,1.4135,0.3211
ijpeg,SCORE,dl2_128_64_8,1.7039,0.1168
ijpeg,SCORE,dl2_256_64_16,1.8389,0.0544
ijpeg,SCORE,dl2_256_64_32,1.8377,0.0552
ijpeg,SCORE,dl2_256_64_4,1.6976,0.1338
ijpeg,SCORE,dl2_256_64_8,1.8313,0.0574
ijpeg,SCORE,dl2_32_64_16,1.3600,0.3005
ijpeg,SCORE,dl2_32_64_32,1.5033,0.2102
ijpeg,SCORE,dl2_32_64_4,1.0281,0.5971
ijpeg,SCORE,dl2_32_64_8,1.1145,0.5092
ijpeg,SCORE,dl2_512_64_16,1.8420,0.0526
ijpeg,SCORE,dl2_512_64_32,1.8421,0.0526
ijpeg,SCORE,dl2_512_64_4,1.8309,0.0570
ijpeg,SCORE,dl2_512_64_8,1.8423,0.0526
ijpeg,SCORE,dl2_64_64_16,1.6939,0.1175
ijpeg,SCORE,dl2_64_64_32,1.7042,0.1122
ijpeg,SCORE,dl2_64_64_4,1.1276,0.5004
ijpeg,SCORE,dl2_64_64_8,1.3533,0.3086
li,LRU,dl2_1024_64_16,1.5076,0.0046
li,LRU,dl2_1024_64_32,1.5076,0.0046
li,LRU,dl2_1024_64_4,1.5076,0.0046
li,LRU,dl2_1024_64_8,1.5076,0.0046
li,LRU,dl2_128_64_16,1.4265,0.0129
li,LRU,dl2_128_64_32,1.5076,0.0046
li,LRU,dl2_128_64_4,0.5918,0.3008
li,LRU,dl2_128_64_8,0.7640,0.1426
li,LRU,dl2_256_64_16,1.5076,0.0046
li,LRU,dl2_256_64_32,1.5076,0.0046
li,LRU,dl2_256_64_4,0.7643,0.1477
li,LRU,dl2_256_64_8,1.4208,0.0136
li,LRU,dl2_32_64_16,0.6046,0.2805
li,LRU,dl2_32_64_32,0.7669,0.1399
li,LRU,dl2_32_64_4,0.5002,0.5367
li,LRU,dl2_32_64_8,0.5373,0.4712
li,LRU,dl2_512_64_16,1.5076,0.0046
li,LRU,dl2_512_64_32,1.5076,0.0046
